NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
SILVANA MAGDAS VIVA BRAZIL DANCE CO INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,-19827,-17152,-2675,643,-2032,1435,10185-0129,199306,Cultural Heritage,2018
SOCIETY OF VOICE ARTS AND SCIENCES INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-241070,-43785,-197285,483353,286068,72500,10019-5910,201406,NA,2018
SOKOLOW THEATRE DANCE ENSEMBLE LTD,White,dance: other,N,N,n/a,N,NA,NA,NA,-6008,NA,22636,63223,85859,0,10113-0351,200403,NA,2018
SPELLBOUND THEATRE INC,White,theater,N,N,Youth,Y,NA,NA,NA,-25618,-18866,-6752,183838,177086,58016,11201-3022,201504,NA,2018
STAGEPLAYS THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-452792,-440334,-13711,84190,70479,67384,10017-0000,199405,NA,2018
STARS WITHIN REACH PRODUCTIONS INC,White,theater,N,N,Youth,N,NA,NA,NA,-8012,-6770,-1242,119242,118000,200,10003-1502,201603,NA,2018
STATEN ISLAND BALLET THEATER INC,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-175054,-13533,51836,368431,420267,131020,10306-1941,199409,NA,2018
STELLA ADLER STUDIO OF ACTING,White,theater,N,N,n/a,Y,NA,2,51000,-53825,-59866,-807,7966458,7965651,473206,10006-2552,200008,NA,2018
STRANGEMEN THEATRE COMPANY INC,White,theater,N,N,n/a,MD,NA,NA,NA,-43949,NA,-46374,151657,105283,19651,10003-1526,201812,NA,2018
STUDIO REV,Multiracial,social justice/social practice,Y,Y,n/a,NA,NA,1,15000,-4302,24368,-28670,146389,117719,37570,10024-6022,200105,NA,2018
SUBWAY CINEMA INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,-8916,6122,-15038,353389,338351,338351,10016-8414,201407,Cultural Heritage,2018
