NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
THELMA HILL PERFORMING ARTS CENTER INC,Multiracial,dance: other,N,Y,n/a,NA,NA,NA,1,20000,-37010,-18647,-18363,70707,52344,52344,11213-1015,198804,2011
UCT INTERNATIONAL CULTUREDEVELOPMENT INC,White,multidisciplinary,N,N,n/a,MD,NA,NA,NA,NA,-20152,NA,-11131,26654,15523,15523,11373-5063,201104,2011
UNIQUE PROJECT INC,White,dance: other,N,N,n/a,N,NA,NA,1,1000,-526,-1004,478,163850,164328,163457,10018-5805,198206,2011
URBANGLASS NEW YORK CONTEMPORARY GLASS CENTER INC,White,visual arts,N,N,n/a,N,NA,NA,2,40000,-368405,-203205,-165200,1372079,1206879,525435,11217-1152,198303,2011
VH1 SAVE THE MUSIC FOUNDATION,White,music: other,N,N,Youth,N,NA,NA,NA,NA,-394506,-55128,-339378,3612303,3272925,3271463,10036-8901,195508,2011
VOLCANO LOVE INC,White,dance: other,N,N,n/a,MD,NA,NA,NA,NA,-43236,-21977,-21259,268854,247595,107188,11217-2407,200004,2011
WILLIAMSBURG ART AND HISTORICAL CENTER INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-1994,12561,-14555,34690,20135,10842,11211-6129,199611,2011
WILLIAMSBURG ART NEXUS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-495,-8473,7978,16259,24237,14274,11225-5715,200404,2011
WINGS THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,closed 2011,NA,NA,-30572,-63406,32834,84302,117136,8606,10014-2840,198606,2011
WORKING THEATRE CO INC,White,theater,N,N,n/a,Y,NA,NA,2,14500,-78263,-46846,-31417,312288,280871,224802,10018-8635,198801,2011
WOVEN SPACES INC,White,multidisciplinary,N,N,n/a,Y,NA,NA,NA,NA,-10549,-11909,1360,39412,40772,10000,11222-5971,199702,2011
ZENA GROUP THEATER INC,White,theater,N,N,n/a,MD,NA,NA,NA,NA,-19516,NA,-19528,57912,38384,38384,10040-1511,200202,2011
ZEUSS THIGH LTD,White,theater,N,N,n/a,N,NA,NA,NA,NA,-7122,12254,5131,15498,20629,16591,10023-0031,200408,2011
ZGD INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-14167,-59853,45686,306789,352475,169932,10018-9090,199410,2011
ZHENGUO BEIJING OPERA HOUSE INC,Asian/Pacific Islander,opera,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-11485,NA,-25,25,0,0,10016-5332,200804,2011
